word,z,n_strict,n_lenient
appointment made,3.16229516581811,145,0
observed sws,3.1674461772282885,54,12
code complaint,3.179937214973383,132,47
work performed,3.2044680881253407,57,13
issued violation,3.2179415662251047,62,15
observed premise,3.2222145568544303,50,10
tripping hazard,3.230272509765686,55,12
work entire,3.241527114747914,60,14
scaffold place,3.241527114747914,60,14
gas leak,3.24418699843701,43,7
gas work,3.2584657626949376,97,30
construction debri,3.264806207464183,138,49
day issued,3.2800725811127887,156,0
place time,3.284772953783716,51,10
illegal parking,3.2920872298013353,56,12
per rcny,3.2920872298013353,56,12
present site,3.2939119523585814,68,17
adjacent property,3.294495236776489,242,100
expiration date,3.3156134691207,66,16
permit observed,3.32739155519251,133,46
information panel,3.336499699633881,253,105
class one,3.340441539233822,47,8
due day,3.3425673204511277,162,0
approximately feet,3.352572905398929,69,17
correction rca,3.352869945853388,163,0
past due,3.3631410340364227,164,0
show correction,3.3631410340364227,164,0
zone restrictor,3.3631410340364227,164,0
ground level,3.3744632060516797,67,16
piece bathroom,3.3744632060516797,67,16
made show,3.3835897466609994,166,0
illegal use,3.3883986993287647,79,21
exterior wall,3.39309619529364,115,37
electrical wiring,3.40934119347578,84,23
class violation,3.419227570401071,183,69
served failure,3.4318825403810114,89,25
gained partial,3.4377654285216184,49,1
building ade,3.4377654285216184,49,1
immediately provide,3.4377654285216184,49,1
vio issued,3.4441087717924286,80,21
routine inspection,3.4442080752128357,172,0
house observed,3.446351018652258,44,6
observed missing,3.4627812575509926,78,20
door zone,3.464178656997525,174,0
site fence,3.470249681326866,92,26
public safety,3.4979533151294695,57,11
permit expiration,3.5028585341049325,45,6
issued rca,3.5037786288007537,178,0
violation remain,3.5057983087420075,52,1
flexible cord,3.5057983087420075,52,1
unobstructed exit,3.5178867546283326,50,8
monitor found,3.523411853511229,180,0
responding incident,3.5277219051583097,53,1
undr prmt,3.533187588117575,181,0
remain open,3.54929256341015,54,1
