term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,scale,sample,n,label
multi_bldg,0.10430480163970177,0.016834970199773813,6.195722380376008,5.801830127438734e-10,0.07130886636734,0.13730073691206351,tract_ppml_nviol,violation count,log,universe,766248,Multiple buildings on lot
com_class,-0.0007746645437152276,0.038720382758559,-0.020006634452599537,0.9840380800978483,-0.07666522021809656,0.0751158911306661,tract_ppml_nviol,violation count,log,universe,766248,Commercial/mixed building class (S/K/O)
log_bldgarea,0.6797112002675549,0.041142063308591506,16.521077107127343,0.0,0.5990742379330487,0.7603481626020612,tract_ppml_nviol,violation count,log,universe,766248,Log total floor area
log2_area_per_unit,-0.10906994456304309,0.03241756129410687,-3.364532685648711,0.0007667340194754679,-0.17260719716611223,-0.04553269195997395,tract_ppml_nviol,violation count,log,universe,766248,Floor area per unit (per doubling)
value_rank,-0.3605376369609678,0.036490246020233444,-9.880383836301174,0.0,-0.4320572049476314,-0.2890180689743042,tract_ppml_nviol,violation count,log,universe,766248,Assessed value rank within type (0-1)
any_prior_viol,0.7053467441955021,0.014994850256623645,47.039265622804784,0.0,0.6759573777389486,0.7347361106520557,tract_ppml_nviol,violation count,log,universe,766248,Any violation 2010-2019
llc,7.241794412081899,0.17335058056260239,41.77542635610994,0.0,6.901846150680074,7.581742673483724,tract_lpm_anyecb,any ECB violation (pp),pp,universe,766400,LLC owner (vs individual)
corp_other,3.340118731896375,0.28532347681898484,11.706427978288712,0.0,2.780586600149578,3.899650863643172,tract_lpm_anyecb,any ECB violation (pp),pp,universe,766400,Corporate/org owner (vs individual)
trust_estate,-1.464211141827418,0.09366978788849357,-15.631626534378883,0.0,-1.647901795964406,-1.28052048769043,tract_lpm_anyecb,any ECB violation (pp),pp,universe,766400,Trust/estate owner (vs individual)
nycha,-2.6702531182790614,2.5024562989807015,-1.0670528469834646,0.2860652646435953,-7.577682128967133,2.23717589240901,tract_lpm_anyecb,any ECB violation (pp),pp,universe,766400,NYCHA
govt,4.774506223720982,1.3830509834872478,3.4521548957526225,0.0005666540018909316,2.062281230065526,7.4867312173764375,tract_lpm_anyecb,any ECB violation (pp),pp,universe,766400,Other government owner
owner_occ_star,-0.18506455968425026,0.11424311399558401,-1.619918726054717,0.10539331818049047,-0.4091004288107692,0.038971309442268676,tract_lpm_anyecb,any ECB violation (pp),pp,universe,766400,Owner-occupied (STAR)
is_coop,-4.053454122168776,0.6908101297782094,-5.867681939565901,5.089723531526147e-09,-5.408163762105996,-2.698744482231555,tract_lpm_anyecb,any ECB violation (pp),pp,universe,766400,Co-op building
is_condo,-5.162801939368239,0.596020226885452,-8.662125388507105,0.0,-6.331624329419938,-3.99397954931654,tract_lpm_anyecb,any ECB violation (pp),pp,universe,766400,Condominium
era_pre1940,-0.7220608197204392,0.21495240581615704,-3.3591660301676187,0.000795140008689188,-1.1435921258411776,-0.30052951359970076,tract_lpm_anyecb,any ECB violation (pp),pp,universe,766400,Built before 1940 (vs 2000+)
