geo,month,active_jobs,monitoring_events,monitoring_per_100_jobs,ecb_site_safety,ecb_cranes,idx_active_jobs_2020avg100,idx_monitoring_2020avg100
Brooklyn,2021-04,10115,312,3.0845279288185865,7,2,241.3793103448276,85.42094455852155
Brooklyn,2021-05,11050,467,4.226244343891403,29,18,263.6916835699797,127.85763175906912
Brooklyn,2021-06,11968,986,8.238636363636363,46,11,285.59837728194725,269.9520876112252
Brooklyn,2021-07,12765,591,4.62984723854289,51,13,304.6175874000716,161.8069815195072
Brooklyn,2021-08,13467,439,3.259820301477686,18,14,321.3697649445173,120.19164955509925
Brooklyn,2021-09,14198,382,2.6905197915199324,28,10,338.81398401145447,104.58590006844628
Brooklyn,2021-10,15017,371,2.470533395485117,40,12,358.3581911466412,101.57426420260096
Brooklyn,2021-11,15604,486,3.1145860035888235,35,7,372.3660661018971,133.05954825462013
Brooklyn,2021-12,16180,333,2.058096415327565,19,12,386.1114425486219,91.17043121149896
Brooklyn,2022-01,16594,517,3.11558394600458,18,3,395.99093186970526,141.54688569472964
Brooklyn,2022-02,17075,802,4.69692532942899,20,3,407.46927574275145,219.5756331279945
Brooklyn,2022-03,18049,929,5.14709956230262,31,8,430.7123254981506,254.3463381245722
Brooklyn,2022-04,18613,767,4.120775801858915,40,13,444.17133993556854,209.99315537303218
Brooklyn,2022-05,19636,593,3.0199633326543083,23,8,468.5837012289703,162.3545516769336
Brooklyn,2022-06,20564,620,3.014977630811126,24,2,490.72902994869344,169.74674880219027
Brooklyn,2022-07,20970,670,3.195040534096328,16,6,500.4176112635724,183.4360027378508
Brooklyn,2022-08,21688,822,3.7901143489487277,24,13,517.5516048204272,225.05133470225874
Brooklyn,2022-09,22253,703,3.1591246124118095,11,6,531.0344827586207,192.47091033538672
Brooklyn,2022-10,22901,383,1.672416051700799,11,4,546.498031261186,104.85968514715948
Brooklyn,2022-11,23284,470,2.0185535131420718,13,1,555.637752058227,128.67898699520876
Brooklyn,2022-12,23499,463,1.9702966083663134,13,7,560.7684047249732,126.7624914442163
Brooklyn,2023-01,23768,451,1.897509256142713,14,2,567.1876864335999,123.47707049965777
Brooklyn,2023-02,23788,434,1.824449302169161,2,3,567.6649564491111,118.82272416153319
Brooklyn,2023-03,24137,483,2.001077184405684,5,5,575.9933182197829,132.2381930184805
Brooklyn,2023-04,24079,433,1.7982474355247313,12,6,574.6092351748001,118.54893908281998
Brooklyn,2023-05,24684,631,2.5563117809107117,4,5,589.0466531440162,172.7583846680356
Brooklyn,2023-06,24821,418,1.6840578542363323,13,4,592.3159527502685,114.44216290212184
Brooklyn,2023-07,24880,388,1.5594855305466238,6,5,593.7238992960267,106.22861054072553
Brooklyn,2023-08,25319,374,1.4771515462695999,5,4,604.1999761364992,102.39561943874058
Brooklyn,2023-09,25120,357,1.4211783439490446,5,2,599.451139482162,97.74127310061603
Brooklyn,2023-10,25246,349,1.3823972114394358,7,5,602.4579405798831,95.55099247091033
Brooklyn,2023-11,25345,315,1.2428486881041625,7,2,604.8204271566639,86.24229979466119
Brooklyn,2023-12,25526,240,0.9402178171276346,5,10,609.1397207970409,65.70841889117042
Brooklyn,2024-01,25884,329,1.2710554782877452,6,8,617.6828540746927,90.07529089664614
Brooklyn,2024-02,25963,309,1.1901552208912682,2,3,619.5680706359623,84.59958932238193
Brooklyn,2024-03,26382,508,1.925555302858009,5,8,629.5668774609236,139.08281998631074
Brooklyn,2024-04,26808,590,2.2008355714712025,3,7,639.7327287913137,161.53319644079397
Brooklyn,2024-05,27242,429,1.5747742456500993,2,7,650.0894881279083,117.45379876796716
