word,z,n_large,n_small
chain,-3.310101388273034,34,198
skylight,-3.3029233529327082,11,99
spa,-3.296104895132511,25,160
protect,-3.2878520155813016,141,604
withouta,-3.287640601446031,19,134
dividing,-3.2874034747283427,8,85
worship,-3.2863648222134008,5,72
subdividing,-3.253729812669047,8,84
vinyl,-3.239044290606154,3,64
compressor,-3.239044290606154,3,64
show,-3.238537201615658,223,895
verystrong,-3.237219036738836,1,81
saint,-3.2364147006499695,9,88
paving,-3.2308501995973464,2,64
mice,-3.212432333079632,29,174
commerical,-3.2111959043711025,3,63
downspout,-3.208061669424678,2,63
lincoln,-3.2035238092049987,21,140
doorbell,-3.2020465225004986,9,87
likely,-3.1959066974084602,51,262
host,-3.1958370357073407,73,347
installing,-3.189252077885509,123,533
exceeding,-3.1851459248104006,4,65
entire,-3.1696006212020174,554,2031
expanded,-3.1672998651377133,9,86
violated,-3.1551463474990693,23,147
encroached,-3.1541599635711477,3,61
pluming,-3.1503522948934437,8,81
warrant,-3.1495586184789284,12,99
vacated,-3.1475825228937984,6,72
