word,z,n_agency,n_caller
direct,-3.3317097778575797,55,435
portable,-3.3315386621103853,20,214
iam,-3.3309250841504956,1,138
increasing,-3.3309250841504956,1,138
expected,-3.323509169202102,1,137
plain,-3.323509169202102,1,137
promised,-3.323509169202102,1,137
respiratory,-3.323509169202102,1,137
permitactive,-3.323509169202102,1,137
dentist,-3.321192810305138,2,105
thescaffold,-3.321192810305138,2,105
beneath,-3.318155420682055,21,220
vendor,-3.316039532296138,1,136
hazzard,-3.3158957196756704,6,118
collected,-3.3102179596189027,4,106
sandy,-3.310057303952997,9,138
roosevelt,-3.3074553844922416,2,104
hasnot,-3.3074553844922416,2,104
goin,-3.3074553844922416,2,104
couch,-3.3074553844922416,2,104
seemed,-3.302875186152764,7,124
coughing,-3.3009358868417435,1,134
spend,-3.3009358868417435,1,134
ticketed,-3.3009358868417435,1,134
labor,-3.300497485362109,5,111
permanent,-3.297869860358728,87,623
bbq,-3.2942469893428123,12,158
prompt,-3.2933002303280308,1,133
outstanding,-3.2933002303280308,1,133
http,-3.292294341612134,0,2406
wasnt,-3.2910264180109294,4,105
unusable,-3.2910264180109294,4,105
drywall,-3.2900572239017545,20,212
mayor,-3.2900572239017545,20,212
himself,-3.2898998047737904,43,359
feature,-3.2868093810543697,3,101
humming,-3.2856075548371924,1,132
furnished,-3.285565755589461,8,130
serving,-3.2822839862111683,15,178
civil,-3.2795803940638923,2,102
rectified,-3.277856988819738,1,131
isposted,-3.277856988819738,1,131
havent,-3.277856988819738,1,131
pic,-3.270047640645404,1,130
abasement,-3.270047640645404,1,130
assigned,-3.2693350102060266,3,100
neighbour,-3.2693350102060266,3,100
aconstruction,-3.2693350102060266,3,100
amboy,-3.2654375885972957,2,101
bounce,-3.2654375885972957,2,101
nosafety,-3.2654375885972957,2,101
toyota,-3.2621785979823374,1,129
precinct,-3.2621785979823374,1,129
railroad,-3.2594217491387276,5,109
hire,-3.2549567349817177,29,269
relevant,-3.2542489271521537,1,128
theneighboring,-3.2542489271521537,1,128
merchandise,-3.2542489271521537,1,128
infraction,-3.251154286170158,2,100
noconstruction,-3.251154286170158,2,100
vicinity,-3.251154286170158,2,100
trespasser,-3.251154286170158,2,100
assembly,-3.2506853548394155,53,418
engine,-3.2492150438291887,17,190
padlocked,-3.247893426955315,11,149
habitable,-3.2462576724596865,1,127
thewindow,-3.2462576724596865,1,127
reasonable,-3.2462576724596865,1,127
primary,-3.2416803563239682,26,249
sporadically,-3.2382038554962627,1,126
itha,-3.2382038554962627,1,126
knob,-3.2382038554962627,1,126
dispose,-3.2382038554962627,1,126
bulk,-3.2376774931845063,7,121
thepermit,-3.236727667372364,2,99
shield,-3.236727667372364,2,99
alongside,-3.233858326942215,3,98
microwave,-3.2323458425843246,4,102
depth,-3.2309967469100513,13,162
frontof,-3.2307277451799377,6,114
skin,-3.2221548274053786,2,98
memorial,-3.2221548274053786,2,98
stress,-3.221904503178236,1,124
erosion,-3.217596092573558,5,107
along,-3.216053560929541,377,2214
emit,-3.2136568907714733,1,123
slide,-3.212405135745059,4,101
floorand,-3.212405135745059,4,101
investigating,-3.2074327726083465,2,97
hydrant,-3.2068984416765174,79,570
woodhaven,-3.205342560389266,1,122
hostel,-3.205342560389266,1,122
regulation,-3.203532045905316,289,1739
laundry,-3.1975333983684564,260,1581
isfalling,-3.1969604085846086,1,121
transportation,-3.1969604085846086,1,121
ose,-3.1969604085846086,1,121
thorough,-3.1969604085846086,1,121
secondfloor,-3.1969604085846086,1,121
web,-3.193329010382273,7,119
haul,-3.1925584168060794,2,96
atthi,-3.1925584168060794,2,96
