term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,n
era_unknown,1.486599154972841,0.2200334970122126,6.756240186876318,1.4161782857513572e-11,1.0553414254365028,1.9178568845091792,ppml_n_ecb_2020on,ECB citations,458649
com_class,0.013641631945886972,0.08472467836914134,0.16101131581109154,0.8720844881995806,-0.15241568625936985,0.1796989501511438,ppml_n_ecb_2020on,ECB citations,458649
log_bldgarea,1.1150605673425207,0.14151817488176016,7.879274646342527,3.3306690738754696e-15,0.8376900414164298,1.3924310932686117,ppml_n_ecb_2020on,ECB citations,458649
mzone,0.17649275375377071,0.13578529833074288,1.299792804695789,0.19367199227058052,-0.08964154060451213,0.44262704811205356,ppml_n_ecb_2020on,ECB citations,458649
multi_bldg,-0.009613084848019105,0.02759989155948972,-0.3483015441310247,0.7276137343161366,-0.06370787828183,0.044481708585791785,ppml_n_ecb_2020on,ECB citations,458649
log2_area_per_unit,-0.08829814022204042,0.09740939482698589,-0.906464313620586,0.3646901452569995,-0.27921704583877505,0.10262076539469421,ppml_n_ecb_2020on,ECB citations,458649
value_rank,-0.23721451348951353,0.09002674488967537,-2.6349338052843256,0.008415369279594076,-0.41366369111865264,-0.060765335860374414,ppml_n_ecb_2020on,ECB citations,458649
any_prior_viol,1.0032979382021145,0.030959766164450002,32.40650891459787,0.0,0.9426179115500107,1.0639779648542182,ppml_n_ecb_2020on,ECB citations,458649
geo_nyc_other,0.06802434766022848,0.027156963681217627,2.5048583655644707,0.01225004369006677,0.014797676915579636,0.12125101840487733,ppml_n_ecb_2020on,ECB citations,458649
geo_outside_nyc,0.1731397728637872,0.052434621862932865,3.302012424469935,0.0009599381800726725,0.07036980246946226,0.27590974325811213,ppml_n_ecb_2020on,ECB citations,458649
geo_unknown,-0.5665230942733911,0.030299622884325396,-18.697364532760073,0.0,-0.6259092638718146,-0.5071369246749676,ppml_n_ecb_2020on,ECB citations,458649
